class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-98.2008,76.1072,14.3234,-85.1555,95.0694,18.9452,-74.0413,91.8392,31.5327,-61.4642,98.5657,39.7132,-48.4094,105.818,38.2575
1,-98.2001,76.0999,14.3299,-85.1317,95.0911,19.0101,-74.0409,91.8392,31.5341,-61.4619,98.565,39.721,-48.3953,105.811,38.3015
1,-98.2005,76.0821,14.3448,-85.0704,95.1494,19.1881,-74.0361,91.839,31.5515,-61.4467,98.5603,39.7753,-48.3511,105.785,38.4444
1,-98.2083,76.033,14.3778,-84.9954,95.2252,19.428,-74.0119,91.8377,31.6483,-61.4039,98.5448,39.9436,-48.2708,105.733,38.7281
1,-98.2235,75.9575,14.428,-84.9007,95.3212,19.7584,-73.9688,91.8333,31.823,-61.3371,98.5164,40.209,-48.1633,105.656,39.1123
1,-98.2515,75.8391,14.499,-84.79,95.4279,20.1568,-73.9142,91.8277,32.0524,-61.2488,98.4766,40.572,-48.0363,105.56,39.5795
1,-98.2684,75.7588,14.5414,-84.7367,95.4659,20.3151,-73.8944,91.8264,32.133,-61.2151,98.4621,40.706,-47.9841,105.52,39.7631
1,-98.2993,75.5704,14.6184,-84.6103,95.5137,20.5504,-73.8688,91.8256,32.2275,-61.1719,98.4447,40.862,-47.8833,105.44,40.0783
1,-98.3266,75.3647,14.6844,-84.4398,95.5503,20.7904,-73.8515,91.8264,32.283,-61.1426,98.4352,40.9555,-47.7947,105.373,40.3232
1,-98.3522,75.1775,14.7273,-84.1811,95.5781,21.059,-73.8362,91.8279,32.3248,-61.1172,98.4289,41.0248,-47.7229,105.321,40.4925
1,-98.373,75.0459,14.7427,-83.7504,95.5935,21.3724,-73.8174,91.8306,32.3643,-61.0918,98.4257,41.0776,-47.6556,105.277,40.6154
1,-98.3804,74.9698,14.7348,-82.6699,95.566,21.7511,-73.7645,91.843,32.4336,-61.0377,98.4285,41.143,-47.5324,105.214,40.76
1,-98.3335,74.8006,14.6767,-78.1099,94.8357,22.0189,-73.4408,91.8782,32.6232,-60.7564,98.4255,41.2829,-46.8969,104.927,41.1254
1,-98.1788,74.5256,15.4063,-71.9353,94.3546,29.1137,-72.2236,93.1456,33.4833,-59.3146,99.1893,41.4986,-43.863,104.488,41.8688
1,-97.4677,72.8778,19.842,-79.6154,84.8414,50.29,-81.2354,94.241,35.0626,-64.9415,101.935,40.2599,-47.7507,108.895,41.1365
1,-91.8197,63.8122,31.56,-80.1655,64.4721,60.3761,-91.3824,87.0008,31.5796,-72.8722,100.525,35.8086,-54.5049,111.555,40.3415
1,-80.7271,48.7727,43.5911,-76.0834,43.8461,60.1863,-94.9173,80.3637,24.3151,-76.661,98.2889,29.921,-58.8147,112.739,38.0133
1,-67.6138,32.8436,53.808,-71.9866,32.459,57.339,-95.4666,77.1683,18.7493,-77.1898,97.627,27.833,-60.3865,113.336,35.5465
1,-58.4875,22.5494,60.3358,-70.5858,29.0351,55.5827,-95.523,76.4115,17.0225,-77.7823,96.8278,25.0866,-60.9445,113.768,33.7394
1,-56.4428,20.1426,61.1188,-70.8633,28.9431,54.1583,-95.5802,76.1084,15.9172,-77.9778,96.6421,24.2073,-61.1618,114.036,32.954
1,-55.4297,19.1377,60.2295,-71.5482,30.1441,52.0479,-95.6907,76.0348,14.3155,-78.3333,96.6183,22.6639,-61.4469,115.347,31.8458
1,-55.1875,19.8143,59.658,-71.6858,31.9439,51.5439,-95.7444,76.4738,12.2731,-78.912,97.337,19.6934,-61.0212,118.397,31.3864
1,-54.6765,20.4103,59.3578,-71.0626,33.2025,51.7706,-95.7113,77.0798,9.44068,-79.7281,98.8071,15.1732,-60.3814,120.696,31.6706
1,-54.6765,20.4103,59.3578,-71.0626,33.2025,51.7706,-95.7113,77.0798,9.44068,-79.7281,98.8071,15.1732,-60.3814,120.696,31.6706
1,-53.681,20.6749,59.5208,-69.8551,34.0831,53.3487,-95.9619,78.0438,2.99309,-81.2828,101.606,8.96876,-59.8999,122.021,32.6885
